iter	Logloss
0	0.6656803882
1	0.6392623095
2	0.6128964439
3	0.5868817552
4	0.5619598263
5	0.539699624
6	0.5208982677
7	0.50458614
8	0.4870336651
9	0.4708403372
10	0.4574256645
11	0.4451191713
12	0.4325493314
13	0.4207878819
14	0.4094571664
15	0.400707647
16	0.3930927755
17	0.3843601118
18	0.3741454668
19	0.3649026821
20	0.3569283551
21	0.3500688512
22	0.3448730339
23	0.3393164291
24	0.3330168611
25	0.3274819618
26	0.3223215775
27	0.3182139296
28	0.3131908909
29	0.3084663065
30	0.3049384539
31	0.2994668031
32	0.2961692807
33	0.2936151187
34	0.2899425703
35	0.2861459501
36	0.283448749
37	0.2805851495
38	0.277214625
39	0.2740280879
40	0.2715562076
41	0.2694546338
42	0.2670459395
43	0.2649782609
44	0.2630801324
45	0.2598663494
46	0.2576021355
47	0.2551299537
48	0.2527184572
49	0.2506953639
50	0.2491122267
51	0.2476302635
52	0.2461829321
53	0.2444283819
54	0.2426686987
55	0.2414867935
56	0.2401161249
57	0.2386328206
58	0.236808757
59	0.2357734088
60	0.2341341477
61	0.2330248153
62	0.2320320209
63	0.2307546075
64	0.2290118229
65	0.2281587723
66	0.2271245629
67	0.2262834752
68	0.2253924904
69	0.224680586
70	0.2235794536
71	0.2229062465
72	0.2220055475
73	0.2211718977
74	0.220340917
75	0.2197237585
76	0.2186442167
77	0.2181144903
78	0.2171124552
79	0.2164346285
80	0.216073676
81	0.2154146815
82	0.214622313
83	0.2138264849
84	0.2131032734
85	0.2123702741
86	0.2115083647
87	0.2111297591
88	0.2106271934
89	0.2099111049
90	0.2094385814
91	0.2089334488
92	0.2085758684
93	0.2081152918
94	0.2076561364
95	0.2071643379
96	0.2067193378
97	0.2063998992
98	0.2059730275
99	0.2055911994
100	0.205141801
101	0.2047509727
102	0.2041064697
103	0.2038190126
104	0.2034178333
105	0.2029313856
106	0.2024213388
107	0.202023637
108	0.2016488461
109	0.2014622424
110	0.2010515889
111	0.2006827895
112	0.2004271456
113	0.200035507
114	0.1997399094
115	0.1991291134
116	0.1989252978
117	0.1987186097
118	0.1984133839
119	0.198083279
120	0.1978325142
121	0.1976739416
122	0.197494053
123	0.1972909483
124	0.1969885609
125	0.1967115697
126	0.1965324749
127	0.1962977476
128	0.1960523783
129	0.1958939346
130	0.1956759594
131	0.1954755476
132	0.1952972742
133	0.19473781
134	0.1944890467
135	0.1941871327
136	0.193779989
137	0.1936651893
138	0.1934295065
139	0.1932071442
140	0.1930611956
141	0.1928648906
142	0.1926691412
143	0.1924720451
144	0.1920888016
145	0.1918910735
146	0.1917283434
147	0.1915875186
148	0.1914433429
149	0.1912417149
150	0.1910592878
151	0.1908568436
152	0.1905258566
153	0.1902579021
154	0.1901950253
155	0.1899488668
156	0.189794608
157	0.1896270366
158	0.1894068453
159	0.1893021698
160	0.1892552601
161	0.189039206
162	0.1888091446
163	0.1885444202
164	0.1884026298
165	0.1882429111
166	0.1880453053
167	0.1879959973
168	0.1878840377
169	0.1877215797
170	0.1876755918
171	0.1875409253
172	0.1873943722
173	0.1872497857
174	0.1871353756
175	0.1870434972
176	0.1868268111
177	0.1866295335
178	0.1864844879
179	0.1863445737
180	0.186085401
181	0.1859644261
182	0.1857496451
183	0.185585082
184	0.1854268704
185	0.1853606143
186	0.1852997483
187	0.1852071332
188	0.1851370491
189	0.1850259212
190	0.184898819
191	0.1846878753
192	0.1845288189
193	0.1844555396
194	0.1843054067
195	0.1841779779
196	0.1841301706
197	0.1839046376
198	0.1837602925
199	0.1836108712
200	0.1834917398
201	0.1834094607
202	0.1833405149
203	0.1832398774
204	0.1831333086
205	0.1830576554
206	0.1829920564
207	0.1828855018
208	0.182651491
209	0.1825731025
210	0.1824981795
211	0.1824927301
212	0.182357434
213	0.1822550713
214	0.1821016598
215	0.1820259422
216	0.1819731328
217	0.1819154733
218	0.1816621308
219	0.1815441705
220	0.181408949
221	0.1813319209
222	0.1812188073
223	0.1811002206
224	0.1810524
225	0.1809652635
226	0.1809433583
227	0.1808067225
228	0.1807403795
229	0.1807333068
230	0.1806318797
231	0.1805558463
232	0.1803232622
233	0.1801742216
234	0.1800602477
235	0.1799466365
236	0.1798535834
237	0.1797692783
238	0.179550072
239	0.179405747
240	0.1793705196
241	0.1792892842
242	0.1791814672
243	0.1790864958
244	0.1789678958
245	0.1789055602
246	0.1788261674
247	0.1787866301
248	0.1786674785
249	0.1786201375
250	0.1785125479
251	0.1783686478
252	0.1783248355
253	0.1782097196
254	0.1780817631
255	0.1779881298
256	0.1778677723
257	0.1778260997
258	0.1777190853
259	0.177554496
260	0.1775388925
261	0.1774770946
262	0.1773855613
263	0.1773147276
264	0.1772361902
265	0.1770637739
266	0.1769585122
267	0.1769283518
268	0.1767730386
269	0.1766384067
270	0.1765261039
271	0.1764132381
272	0.1763315961
273	0.1762292118
274	0.1762187097
275	0.1761110098
276	0.1760166521
277	0.1759084065
278	0.1758490622
279	0.1757837616
280	0.175696777
281	0.1756657822
282	0.1755658764
