iter	Passed	Remaining
0	5	5174
1	8	4101
2	10	3445
3	12	3081
4	14	2920
5	22	3658
6	24	3427
7	26	3277
8	30	3383
9	40	3997
10	47	4275
11	54	4454
12	55	4245
13	58	4144
14	61	4042
15	63	3922
16	65	3793
17	67	3672
18	69	3581
19	71	3487
20	74	3467
21	76	3389
22	78	3328
23	79	3250
24	81	3174
25	83	3110
26	84	3053
27	86	3003
28	88	2963
29	90	2912
30	91	2863
31	93	2831
32	95	2794
33	97	2759
34	98	2727
35	100	2693
36	102	2659
37	104	2634
38	105	2607
39	107	2582
40	109	2555
41	111	2534
42	112	2508
43	114	2483
44	118	2518
45	121	2523
46	123	2511
47	125	2491
48	127	2475
49	129	2460
50	131	2441
51	133	2425
52	134	2407
53	136	2397
54	138	2382
55	140	2371
56	144	2397
57	148	2409
58	150	2398
59	152	2390
60	154	2380
61	157	2378
62	159	2374
63	161	2364
64	163	2351
65	165	2338
66	167	2326
67	168	2315
68	170	2306
69	172	2295
70	174	2285
71	176	2272
72	177	2257
73	179	2242
74	180	2228
75	182	2216
76	183	2204
77	185	2192
78	187	2181
79	188	2168
80	191	2174
81	193	2164
82	194	2153
83	196	2145
84	198	2138
85	200	2131
86	202	2123
87	204	2119
88	206	2110
89	207	2100
90	209	2089
91	210	2078
92	212	2068
93	213	2059
94	215	2054
95	217	2051
96	220	2053
97	222	2046
98	223	2037
99	225	2027
100	226	2017
101	228	2008
102	229	1999
103	231	1990
104	232	1981
105	234	1973
106	235	1965
107	236	1956
108	238	1948
109	239	1940
110	241	1933
111	242	1925
112	244	1918
113	246	1913
114	248	1908
115	250	1908
116	252	1902
117	253	1895
118	254	1887
119	256	1881
120	257	1874
121	259	1868
122	261	1861
123	262	1855
124	264	1849
125	265	1843
126	267	1837
127	268	1831
128	270	1824
129	271	1818
130	273	1813
131	274	1807
132	276	1801
133	277	1795
134	279	1789
135	280	1784
136	282	1777
137	283	1771
138	285	1766
139	286	1760
140	288	1754
141	289	1749
142	291	1744
143	292	1739
144	294	1737
145	297	1739
146	299	1735
147	300	1731
148	302	1727
149	304	1726
150	306	1724
151	308	1721
152	310	1718
153	312	1718
154	314	1716
155	316	1712
156	318	1708
157	319	1703
158	321	1699
159	322	1695
160	324	1692
161	326	1688
162	328	1686
163	330	1682
164	331	1677
165	333	1673
166	334	1669
167	336	1664
168	337	1660
169	339	1656
170	340	1652
171	342	1649
172	344	1645
173	345	1641
174	347	1637
175	348	1633
176	350	1629
177	352	1626
178	353	1622
179	355	1618
180	356	1614
181	358	1613
182	360	1609
183	362	1605
184	363	1601
185	364	1597
186	366	1593
187	368	1589
188	369	1585
189	371	1582
190	372	1577
191	374	1574
192	376	1573
193	377	1570
194	379	1566
195	381	1564
196	383	1561
197	384	1558
198	386	1555
199	388	1552
200	389	1549
201	391	1546
202	393	1543
203	394	1540
204	396	1536
205	397	1533
206	399	1530
207	400	1526
208	402	1523
209	404	1520
210	406	1518
211	407	1514
212	409	1512
213	410	1509
214	412	1505
215	413	1502
216	415	1498
217	416	1495
218	418	1491
219	419	1488
220	421	1485
221	423	1483
222	425	1482
223	427	1479
224	428	1476
225	430	1474
226	431	1471
227	433	1469
228	437	1474
229	440	1474
230	442	1471
231	444	1472
232	446	1469
233	448	1467
234	449	1464
235	451	1462
236	453	1460
237	456	1460
238	458	1459
239	459	1456
240	461	1453
241	463	1450
242	464	1447
243	466	1443
244	468	1443
245	469	1440
246	471	1437
247	473	1435
248	476	1438
249	479	1437
250	480	1435
251	482	1432
252	484	1430
253	486	1428
254	488	1427
255	490	1424
256	492	1424
257	494	1422
258	496	1419
259	497	1417
260	499	1415
261	503	1417
262	505	1415
263	507	1415
264	511	1417
265	513	1415
266	515	1416
267	517	1414
268	519	1412
269	521	1409
270	524	1410
271	527	1413
272	529	1410
273	531	1407
274	533	1406
275	534	1403
276	536	1400
277	538	1398
278	540	1395
279	541	1393
280	543	1391
281	546	1391
282	548	1388
283	549	1386
284	551	1383
285	553	1381
286	555	1379
287	556	1375
288	557	1372
289	559	1370
290	561	1367
291	563	1367
292	566	1367
293	568	1364
294	569	1361
295	571	1358
296	572	1355
297	574	1353
298	576	1350
299	580	1354
300	582	1352
301	584	1350
302	590	1359
303	592	1357
304	595	1355
305	596	1353
306	599	1352
307	600	1349
308	602	1347
309	603	1344
310	605	1341
311	607	1338
312	608	1336
313	610	1334
314	612	1332
315	614	1329
316	615	1326
317	617	1323
318	618	1320
319	620	1318
320	622	1316
321	628	1322
322	630	1320
323	631	1318
324	633	1315
325	634	1312
326	636	1310
327	638	1307
328	639	1305
329	641	1303
330	643	1301
331	645	1298
332	646	1295
333	648	1293
334	650	1290
335	651	1287
336	653	1285
337	654	1282
338	656	1280
339	658	1279
340	660	1276
341	662	1274
342	663	1271
343	665	1269
344	667	1266
345	668	1264
346	670	1261
347	672	1259
348	674	1257
349	676	1255
350	677	1252
351	679	1251
352	681	1248
353	683	1246
354	684	1244
355	686	1241
356	687	1238
357	689	1236
358	690	1233
359	692	1231
360	693	1228
361	695	1225
362	697	1223
363	699	1221
364	701	1219
365	702	1217
366	704	1214
367	705	1212
368	708	1211
369	709	1208
370	711	1206
371	712	1203
372	714	1201
373	716	1198
374	717	1195
375	719	1193
376	721	1191
377	723	1191
378	725	1188
379	727	1186
380	728	1183
381	730	1181
382	731	1178
383	732	1175
384	734	1173
385	735	1170
386	737	1168
387	740	1167
388	742	1165
389	744	1163
390	745	1161
391	747	1159
392	749	1157
393	750	1154
394	752	1152
395	754	1150
396	756	1148
397	757	1145
398	759	1143
399	760	1141
400	763	1140
401	765	1138
402	767	1136
403	768	1134
404	770	1131
405	772	1129
406	773	1127
407	775	1125
408	777	1123
409	779	1121
410	780	1118
411	781	1115
412	783	1113
413	784	1110
414	786	1108
415	788	1106
416	789	1104
417	791	1101
418	792	1099
419	794	1097
420	796	1095
421	798	1093
422	800	1091
423	802	1089
424	804	1088
425	806	1086
426	807	1083
427	809	1081
428	811	1079
429	812	1077
430	814	1075
431	815	1072
432	818	1071
433	819	1069
434	822	1068
435	824	1067
436	828	1067
437	829	1064
438	831	1062
439	833	1060
440	835	1058
441	837	1056
442	838	1054
443	840	1052
444	841	1049
445	843	1047
446	844	1045
447	846	1042
448	848	1041
449	850	1039
450	851	1037
451	853	1034
452	854	1032
453	857	1030
454	859	1029
455	861	1027
456	862	1025
457	864	1023
458	868	1023
459	871	1022
460	873	1021
461	876	1020
462	877	1018
463	879	1016
464	881	1014
465	883	1011
466	885	1010
467	887	1008
468	889	1006
469	892	1005
470	893	1003
471	895	1001
472	897	1000
473	899	998
474	901	996
475	904	995
476	905	993
477	907	991
478	909	989
479	911	986
480	912	984
481	914	982
482	916	980
483	918	978
484	919	976
485	921	974
486	923	972
487	924	970
488	926	968
489	928	966
490	930	964
491	933	964
492	935	962
493	937	960
494	939	958
495	941	956
496	943	954
497	945	952
498	946	950
499	949	949
500	951	948
501	953	946
502	955	943
503	957	941
504	958	939
505	960	937
506	962	935
507	964	933
508	966	932
509	968	930
510	970	928
511	971	926
512	973	924
513	975	922
514	977	920
515	978	917
516	980	916
517	982	914
518	984	912
519	985	909
520	987	907
521	988	905
522	989	902
523	992	901
524	995	900
525	996	898
526	998	896
527	999	893
528	1001	891
529	1003	889
530	1004	887
531	1006	885
532	1008	883
533	1009	881
534	1011	879
535	1013	877
536	1015	875
537	1016	873
538	1018	871
539	1020	869
540	1021	867
541	1023	864
542	1025	862
543	1026	860
544	1028	858
545	1030	856
546	1032	854
547	1033	852
548	1035	850
549	1036	848
550	1038	846
551	1040	844
552	1041	842
553	1043	840
554	1045	838
555	1046	836
556	1048	833
557	1050	831
558	1051	829
559	1053	827
560	1054	825
561	1056	823
562	1058	821
563	1059	819
564	1061	817
565	1062	814
566	1064	812
567	1065	810
568	1067	808
569	1069	806
570	1070	804
571	1072	802
572	1074	800
573	1075	798
574	1077	796
575	1079	794
576	1080	792
577	1082	790
578	1083	788
579	1085	786
580	1087	784
581	1088	782
582	1090	779
583	1091	777
584	1093	775
585	1095	773
586	1097	771
587	1098	770
588	1100	768
589	1102	766
590	1104	764
591	1106	762
592	1108	760
593	1109	758
594	1111	756
595	1112	754
596	1114	752
597	1116	750
598	1117	748
599	1119	746
600	1121	744
601	1122	742
602	1124	740
603	1126	738
604	1127	736
605	1129	734
606	1130	732
607	1132	730
608	1133	727
609	1135	725
610	1137	724
611	1138	722
612	1140	719
613	1142	717
614	1143	715
615	1145	713
616	1146	711
617	1148	709
618	1149	707
619	1151	705
620	1154	704
621	1155	702
622	1157	700
623	1159	698
624	1160	696
625	1162	694
626	1163	692
627	1165	690
628	1166	688
629	1168	686
630	1170	684
631	1172	682
632	1173	680
633	1175	678
634	1176	676
635	1178	674
636	1180	672
637	1181	670
638	1183	668
639	1185	666
640	1186	664
641	1188	662
642	1189	660
643	1191	658
644	1192	656
645	1194	654
646	1195	652
647	1197	650
648	1199	648
649	1200	646
650	1202	644
651	1203	642
652	1205	640
653	1207	638
654	1208	636
655	1210	634
656	1211	632
657	1213	630
658	1214	628
659	1216	626
660	1218	624
661	1219	622
662	1221	620
663	1222	618
664	1224	616
665	1225	614
666	1227	612
667	1229	610
668	1230	608
669	1232	607
670	1235	605
671	1237	603
672	1238	601
673	1240	600
674	1242	598
675	1243	596
676	1245	594
677	1247	592
678	1250	591
679	1252	589
680	1254	587
681	1255	585
682	1257	583
683	1258	581
684	1260	579
685	1261	577
686	1263	575
687	1264	573
688	1266	571
689	1268	569
690	1270	567
691	1271	566
692	1273	564
693	1274	562
694	1276	560
695	1277	558
696	1279	556
697	1281	554
698	1284	552
699	1285	550
700	1287	548
701	1288	546
702	1289	544
703	1291	542
704	1292	541
705	1294	539
706	1296	537
707	1299	535
708	1300	533
709	1302	531
710	1303	529
711	1305	528
712	1307	526
713	1308	524
714	1310	522
715	1312	520
716	1314	518
717	1315	516
718	1317	514
719	1319	513
720	1321	511
721	1322	509
722	1324	507
723	1325	505
724	1327	503
725	1329	501
726	1332	500
727	1333	498
728	1335	496
729	1337	494
730	1338	492
731	1340	490
732	1342	488
733	1343	486
734	1345	485
735	1347	483
736	1348	481
737	1350	479
738	1352	477
739	1353	475
740	1355	473
741	1356	471
742	1358	469
743	1359	467
744	1361	465
745	1362	464
746	1364	462
747	1366	460
748	1367	458
749	1369	456
750	1370	454
751	1372	452
752	1373	450
753	1375	448
754	1378	447
755	1380	445
756	1381	443
757	1383	441
758	1384	439
759	1386	437
760	1388	436
761	1389	434
762	1391	432
763	1393	430
764	1394	428
765	1396	426
766	1398	424
767	1399	422
768	1401	420
769	1402	418
770	1404	417
771	1405	415
772	1407	413
773	1408	411
774	1410	409
775	1412	407
776	1413	405
777	1415	404
778	1417	402
779	1419	400
780	1420	398
781	1422	396
782	1424	394
783	1426	393
784	1428	391
785	1430	389
786	1432	387
787	1434	385
788	1436	384
789	1437	382
790	1439	380
791	1442	378
792	1444	376
793	1445	375
794	1447	373
795	1449	371
796	1451	369
797	1453	367
798	1454	366
799	1456	364
800	1459	362
801	1460	360
802	1462	358
803	1464	357
804	1466	355
805	1467	353
806	1469	351
807	1471	349
808	1472	347
809	1474	345
810	1477	344
811	1479	342
812	1481	340
813	1483	339
814	1485	337
815	1488	335
816	1490	333
817	1492	332
818	1494	330
819	1496	328
820	1497	326
821	1499	324
822	1501	322
823	1502	320
824	1504	319
825	1505	317
826	1507	315
827	1510	313
828	1511	311
829	1513	309
830	1514	308
831	1516	306
832	1517	304
833	1519	302
834	1520	300
835	1522	298
836	1524	296
837	1525	294
838	1527	293
839	1529	291
840	1530	289
841	1532	287
842	1533	285
843	1535	283
844	1537	281
845	1539	280
846	1541	278
847	1542	276
848	1545	274
849	1547	273
850	1548	271
851	1550	269
852	1552	267
853	1556	266
854	1558	264
855	1560	262
856	1561	260
857	1562	258
858	1564	256
859	1565	254
860	1567	253
861	1568	251
862	1570	249
863	1572	247
864	1574	245
865	1576	243
866	1577	242
867	1579	240
868	1581	238
869	1583	236
870	1585	234
871	1587	233
872	1589	231
873	1591	229
874	1592	227
875	1593	225
876	1595	223
877	1596	221
